timestamp_epoch,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776099620.067217,407,E0,11100000,00000111,0 00000111 1
1776099620.067244,408,98,10011000,00011001,0 00011001 1
1776099620.067272,409,E0,11100000,00000111,0 00000111 1
1776099620.067300,410,18,00011000,00011000,0 00011000 1
1776099620.067328,411,E0,11100000,00000111,0 00000111 1
1776099620.067356,412,18,00011000,00011000,0 00011000 1
1776099620.067384,413,E0,11100000,00000111,0 00000111 1
1776099620.067412,414,18,00011000,00011000,0 00011000 1
1776099620.067441,415,E0,11100000,00000111,0 00000111 1
1776099620.067470,416,98,10011000,00011001,0 00011001 1
1776099620.074629,417,1E,00011110,01111000,0 01111000 1
1776099620.074728,418,18,00011000,00011000,0 00011000 1
1776099620.074765,419,06,00000110,01100000,0 01100000 1
1776099620.074802,420,FE,11111110,01111111,0 01111111 1
1776099630.093925,421,00,00000000,00000000,0 00000000 1
1776099630.094037,422,18,00011000,00011000,0 00011000 1
1776099630.094072,423,E0,11100000,00000111,0 00000111 1
1776099630.094102,424,18,00011000,00011000,0 00011000 1
1776099630.094132,425,E0,11100000,00000111,0 00000111 1
1776099630.094161,426,98,10011000,00011001,0 00011001 1
1776099630.094191,427,E0,11100000,00000111,0 00000111 1
1776099630.094219,428,98,10011000,00011001,0 00011001 1
1776099630.094247,429,E0,11100000,00000111,0 00000111 1
1776099630.094275,430,18,00011000,00011000,0 00011000 1
1776099630.094303,431,E0,11100000,00000111,0 00000111 1
1776099630.094331,432,18,00011000,00011000,0 00011000 1
1776099630.094364,433,E0,11100000,00000111,0 00000111 1
1776099630.094390,434,18,00011000,00011000,0 00011000 1
1776099630.094417,435,E0,11100000,00000111,0 00000111 1
1776099630.094443,436,98,10011000,00011001,0 00011001 1
1776099630.102021,437,1E,00011110,01111000,0 01111000 1
1776099630.102120,438,18,00011000,00011000,0 00011000 1
1776099630.102178,439,06,00000110,01100000,0 01100000 1
1776099630.102237,440,FE,11111110,01111111,0 01111111 1
1776099640.119467,441,00,00000000,00000000,0 00000000 1
1776099640.119602,442,18,00011000,00011000,0 00011000 1
1776099640.119653,443,E0,11100000,00000111,0 00000111 1
1776099640.119698,444,18,00011000,00011000,0 00011000 1
1776099640.119738,445,E0,11100000,00000111,0 00000111 1
1776099640.119776,446,98,10011000,00011001,0 00011001 1
1776099640.119832,447,E0,11100000,00000111,0 00000111 1
1776099640.119871,448,98,10011000,00011001,0 00011001 1
1776099640.119910,449,E0,11100000,00000111,0 00000111 1
1776099640.119947,450,18,00011000,00011000,0 00011000 1
1776099640.119987,451,E0,11100000,00000111,0 00000111 1
1776099640.120027,452,18,00011000,00011000,0 00011000 1
1776099640.120073,453,E0,11100000,00000111,0 00000111 1
1776099640.120121,454,18,00011000,00011000,0 00011000 1
1776099640.120162,455,E0,11100000,00000111,0 00000111 1
1776099640.120210,456,98,10011000,00011001,0 00011001 1
1776099640.127143,457,1E,00011110,01111000,0 01111000 1
1776099640.127287,458,18,00011000,00011000,0 00011000 1
1776099640.127345,459,06,00000110,01100000,0 01100000 1
1776099640.127398,460,FE,11111110,01111111,0 01111111 1
